,0,1,2,3,4,5,6,7,8,9
0,ADCYAP1R1,0.33115660247277834,0.5287058778039924,0.6312016678952939,70.01043243243245,41.5994642776969,65.29908163265306,37.076317100106124,62.74970000000001,37.15378699473312
1,AGTR1,0.5101547179065453,0.7869119991542131,0.658097462917645,91.91829729729731,36.81857327701412,89.77031632653062,42.19531605826742,87.29224,35.88523574539256
2,APLNR,0.7571246616361096,0.5302148718247692,0.6773972589637282,18.54508108108108,7.595217874491384,19.47592857142857,7.613736720023666,19.01434,7.890553629777823
3,AVPR1A,0.6360523298503364,0.06806453154819742,0.08816598471404,14.108108108108109,9.820782662111037,17.607142857142858,9.770909029630054,15.08,10.835294181516256
4,AVPR1B,0.6996877556737642,0.6791654952198061,0.9619986497573428,5.678783783783784,5.549354601554228,5.180306122448979,6.409991133758335,5.2234799999999995,6.259814780774268
5,BDKRB1,0.8745056048684106,0.6896497612144787,0.7723487090589004,8.62356756756757,3.7825350111135108,8.906,3.571120858172329,8.74677,4.099777666788773
6,BDKRB2,0.2205331103307359,0.6594124600630442,0.25825616083538966,45.768972972972975,16.604352108565255,44.483346938775504,14.307264474985582,42.133509999999994,14.699650999595193
7,C3AR1,0.9555873427282884,0.9526771637033409,0.9937504486139415,13.298216216216217,6.171278807136549,13.22072448979592,6.894898727676168,13.22827,6.573259451527835
8,C5AR1,0.46964211915392695,0.010254981289310114,2.7926875180348283e-05,24.631648648648657,4.649012392745752,22.90118367346939,2.816853985287013,24.254399999999997,1.3681908200247503
9,CALCR,0.3903328751014217,0.9230005807632468,0.2579951362777901,240.04378378378377,107.960356857089,238.29903061224493,86.21156430791305,223.66806999999997,94.08678942521684
10,CALCRL,0.5983938830364812,0.4701231463696467,0.7739241220107321,195.54905405405404,39.47842209663808,201.4987857142857,43.25393186097275,199.75395999999998,41.6661902534705
11,CCKAR,0.2120479504774752,0.8107074339612408,0.16477500071025455,13.178972972972973,16.950495715443534,12.425285714285714,15.844112998659336,9.29016,15.632843995076518
12,CCKBR,0.4250325454692738,0.003816238551412599,0.00892129698146915,64.40827027027026,25.323118566380288,75.8784081632653,17.633329468354102,68.09629999999999,23.180029023493475
13,CGA,0.8868281425949034,0.7028194799115526,0.7483187620653735,21.576918918918917,14.480127213825195,22.72115306122449,15.726168367971798,22.00101,15.650825087192688
14,CHRNA1,0.6863009315364634,0.9789237585720846,0.6047141133548743,186.47664864864865,37.932008311612336,186.67277551020408,38.18706855450334,189.56591999999998,39.89499775277095
15,CHRNA10,0.7971899599157903,0.6817122196413052,0.8211635942385069,33.32381081081081,16.512566277605536,31.95537755102041,17.351983215192217,32.501940000000005,16.448553440239056
16,CHRNA2,0.08596730207090961,0.03248813062804304,0.6805199364849046,67.5457027027027,16.009620793093173,61.319846938775505,14.345513689205571,62.21152000000001,15.871527253846743
17,CHRNA7,0.023485164972856607,0.37324427832044116,0.00010744164228086175,2.8754864864864866,3.2789368549067905,3.547428571428571,4.069378223076466,1.5983800000000006,2.7105637818726933
